2019-11-11 14:49:59 RON ndb_1 LED PASS, attempt 1
2019-11-11 15:33:48 RON ndb_4 LED PASS, attempt 2
2019-11-11 15:33:49 RON ndb_4 LED PASS, attempt 3
2019-11-11 15:33:50 RON ndb_4 LED PASS, attempt 4
2019-11-11 15:33:51 RON ndb_4 LED PASS, attempt 5
2019-11-11 15:33:52 RON ndb_4 LED FAIL, attempt 1
2019-11-11 15:33:54 RON ndb_4 LED FAIL, attempt 2
2019-11-11 15:33:55 RON ndb_4 LED FAIL, attempt 3
2019-11-11 15:33:56 RON ndb_4 LED FAIL, attempt 4
2019-11-11 15:33:57 RON ndb_4 LED FAIL, attempt 5
2019-11-11 15:34:43 RON tmux_2, test:1, attempt 1
2019-11-11 15:56:07 RON ndb_2 LED PASS, attempt 1
2019-11-11 15:56:08 RON ndb_2 LED PASS, attempt 2
2019-11-11 15:56:09 RON ndb_2 LED PASS, attempt 3
2019-11-11 15:56:10 RON ndb_2 LED PASS, attempt 4
2019-11-11 15:56:11 RON ndb_2 LED PASS, attempt 5
2019-11-11 15:56:12 RON ndb_2 LED FAIL, attempt 1
2019-11-11 15:56:13 RON ndb_2 LED FAIL, attempt 2
2019-11-11 15:56:14 RON ndb_2 LED FAIL, attempt 3
2019-11-11 15:56:15 RON ndb_2 LED FAIL, attempt 4
2019-11-11 15:56:16 RON ndb_2 LED FAIL, attempt 5
2019-11-11 15:56:17 RON ndb_3 LED PASS, attempt 1
2019-11-11 15:56:18 RON ndb_3 LED PASS, attempt 2
2019-11-11 15:56:19 RON ndb_3 LED PASS, attempt 3
2019-11-11 15:56:20 RON ndb_3 LED PASS, attempt 4
2019-11-11 15:56:21 RON ndb_3 LED PASS, attempt 5
2019-11-11 15:56:22 RON ndb_3 LED FAIL, attempt 1
2019-11-11 15:56:23 RON ndb_3 LED FAIL, attempt 2
2019-11-11 15:56:25 RON ndb_3 LED FAIL, attempt 3
2019-11-11 15:56:26 RON ndb_3 LED FAIL, attempt 4
2019-11-11 15:56:27 RON ndb_3 LED FAIL, attempt 5
2019-11-11 15:56:28 RON ndb_4 LED PASS, attempt 1
2019-11-11 15:56:29 RON ndb_4 LED PASS, attempt 2
2019-11-11 15:56:30 RON ndb_4 LED PASS, attempt 3
2019-11-11 15:56:31 RON ndb_4 LED PASS, attempt 4
2019-11-11 15:56:32 RON ndb_4 LED PASS, attempt 5
2019-11-11 15:56:33 RON ndb_4 LED FAIL, attempt 1
2019-11-11 15:56:34 RON ndb_4 LED FAIL, attempt 2
2019-11-11 15:56:35 RON ndb_4 LED FAIL, attempt 3
2019-11-11 15:56:36 RON ndb_4 LED FAIL, attempt 4
2019-11-11 15:56:37 RON ndb_4 LED FAIL, attempt 5
2019-11-11 15:56:38 RON ndb_2 LED PASS, attempt 1
2019-11-11 15:56:39 RON ndb_2 LED PASS, attempt 2
2019-11-11 15:56:41 RON ndb_2 LED PASS, attempt 3
2019-11-11 15:56:42 RON ndb_2 LED PASS, attempt 4
2019-11-11 15:56:43 RON ndb_2 LED PASS, attempt 5
2019-11-11 15:56:44 RON ndb_2 LED FAIL, attempt 1
2019-11-11 15:56:45 RON ndb_2 LED FAIL, attempt 2
2019-11-11 15:56:46 RON ndb_2 LED FAIL, attempt 3
2019-11-11 15:56:47 RON ndb_2 LED FAIL, attempt 4
2019-11-11 15:56:48 RON ndb_2 LED FAIL, attempt 5
2019-11-11 15:56:49 RON ndb_3 LED PASS, attempt 1
2019-11-11 15:56:50 RON ndb_3 LED PASS, attempt 2
2019-11-11 15:56:51 RON ndb_3 LED PASS, attempt 3
2019-11-11 15:56:52 RON ndb_3 LED PASS, attempt 4
2019-11-11 15:56:53 RON ndb_3 LED PASS, attempt 5
2019-11-11 15:56:54 RON ndb_3 LED FAIL, attempt 1
2019-11-11 15:56:55 RON ndb_3 LED FAIL, attempt 2
2019-11-11 15:56:56 RON ndb_3 LED FAIL, attempt 3
2019-11-11 15:56:57 RON ndb_3 LED FAIL, attempt 4
2019-11-11 15:56:58 RON ndb_3 LED FAIL, attempt 5
2019-11-11 15:56:59 RON ndb_4 LED PASS, attempt 1
2019-11-11 15:57:00 RON ndb_4 LED PASS, attempt 2
2019-11-11 15:57:02 RON ndb_4 LED PASS, attempt 3
2019-11-11 15:57:03 RON ndb_4 LED PASS, attempt 4
2019-11-11 15:57:04 RON ndb_4 LED PASS, attempt 5
2019-11-11 15:57:05 RON ndb_4 LED FAIL, attempt 1
2019-11-11 15:57:06 RON ndb_4 LED FAIL, attempt 2
2019-11-11 15:57:07 RON ndb_4 LED FAIL, attempt 3
2019-11-11 15:57:08 RON ndb_4 LED FAIL, attempt 4
2019-11-11 15:57:09 RON ndb_4 LED FAIL, attempt 5
2019-11-11 15:57:10 RON ndb_2 LED PASS, attempt 1
2019-11-11 15:57:11 RON ndb_2 LED PASS, attempt 2
2019-11-11 15:57:12 RON ndb_2 LED PASS, attempt 3
2019-11-11 15:57:13 RON ndb_2 LED PASS, attempt 4
2019-11-11 15:57:14 RON ndb_2 LED PASS, attempt 5
2019-11-11 15:57:15 RON ndb_2 LED FAIL, attempt 1
2019-11-11 15:57:16 RON ndb_2 LED FAIL, attempt 2
2019-11-11 15:57:17 RON ndb_2 LED FAIL, attempt 3
2019-11-11 15:57:18 RON ndb_2 LED FAIL, attempt 4
2019-11-11 15:57:19 RON ndb_2 LED FAIL, attempt 5
2019-11-11 15:57:20 RON ndb_2 LED PASS, attempt 1
2019-11-11 15:57:21 RON ndb_2 LED PASS, attempt 2
2019-11-11 15:57:22 RON ndb_2 LED PASS, attempt 3
2019-11-11 15:57:24 RON ndb_2 LED PASS, attempt 4
2019-11-11 15:57:25 RON ndb_2 LED PASS, attempt 5
2019-11-11 15:57:26 RON ndb_2 LED FAIL, attempt 1
2019-11-11 15:57:27 RON ndb_2 LED FAIL, attempt 2
2019-11-11 15:57:28 RON ndb_2 LED FAIL, attempt 3
2019-11-11 15:59:17 RON ndb_2 LED PASS, attempt 1
2019-11-11 15:59:18 RON ndb_2 LED PASS, attempt 2
2019-11-11 15:59:19 RON ndb_2 LED PASS, attempt 3
2019-11-11 15:59:20 RON ndb_2 LED PASS, attempt 4
2019-11-11 15:59:21 RON ndb_2 LED PASS, attempt 5
2019-11-11 15:59:22 RON ndb_2 LED FAIL, attempt 1
2019-11-11 15:59:23 RON ndb_2 LED FAIL, attempt 2
2019-11-11 15:59:24 RON ndb_2 LED FAIL, attempt 3
2019-11-11 15:59:25 RON ndb_2 LED FAIL, attempt 4
2019-11-11 15:59:26 RON ndb_2 LED FAIL, attempt 5
2019-11-11 15:59:27 RON ndb_3 LED PASS, attempt 1
2019-11-11 15:59:28 RON ndb_3 LED PASS, attempt 2
2019-11-11 15:59:29 RON ndb_3 LED PASS, attempt 3
2019-11-11 15:59:30 RON ndb_3 LED PASS, attempt 4
2019-11-11 15:59:31 RON ndb_3 LED PASS, attempt 5
2019-11-11 15:59:32 RON ndb_3 LED FAIL, attempt 1
2019-11-11 15:59:33 RON ndb_3 LED FAIL, attempt 2
2019-11-11 15:59:34 RON ndb_3 LED FAIL, attempt 3
2019-11-11 15:59:35 RON ndb_3 LED FAIL, attempt 4
2019-11-11 15:59:36 RON ndb_3 LED FAIL, attempt 5
2019-11-11 15:59:37 RON ndb_4 LED PASS, attempt 1
2019-11-11 15:59:38 RON ndb_4 LED PASS, attempt 2
2019-11-11 15:59:40 RON ndb_4 LED PASS, attempt 3
2019-11-11 15:59:41 RON ndb_4 LED PASS, attempt 4
2019-11-11 15:59:42 RON ndb_4 LED PASS, attempt 5
2019-11-11 15:59:43 RON ndb_4 LED FAIL, attempt 1
2019-11-11 15:59:44 RON ndb_4 LED FAIL, attempt 2
2019-11-11 15:59:45 RON ndb_4 LED FAIL, attempt 3
2019-11-11 15:59:46 RON ndb_4 LED FAIL, attempt 4
2019-11-11 15:59:47 RON ndb_4 LED FAIL, attempt 5
2019-11-11 15:59:49 RON ndb_2 LED PASS, attempt 1
2019-11-11 15:59:50 RON ndb_2 LED PASS, attempt 2
2019-11-11 15:59:51 RON ndb_2 LED PASS, attempt 3
2019-11-11 15:59:52 RON ndb_2 LED PASS, attempt 4
2019-11-11 15:59:53 RON ndb_2 LED PASS, attempt 5
2019-11-11 15:59:54 RON ndb_2 LED FAIL, attempt 1
2019-11-11 15:59:55 RON ndb_2 LED FAIL, attempt 2
2019-11-11 15:59:56 RON ndb_2 LED FAIL, attempt 3
2019-11-11 15:59:57 RON ndb_2 LED FAIL, attempt 4
2019-11-11 15:59:58 RON ndb_2 LED FAIL, attempt 5
2019-11-11 15:59:59 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:00:00 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:00:02 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:00:03 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:00:04 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:00:05 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:00:06 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:00:07 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:00:08 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:00:09 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:00:10 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:00:11 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:00:12 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:00:13 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:00:14 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:00:15 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:00:16 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:00:17 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:00:18 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:00:19 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:00:20 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:00:21 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:00:22 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:00:23 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:00:24 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:00:25 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:00:26 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:00:27 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:00:28 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:00:29 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:00:31 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:00:32 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:00:33 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:00:34 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:00:35 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:00:36 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:00:37 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:00:38 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:00:39 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:00:40 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:00:41 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:00:42 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:00:43 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:00:44 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:00:45 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:00:46 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:00:47 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:00:49 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:00:50 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:00:51 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:00:52 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:00:53 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:00:54 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:00:55 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:00:56 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:00:57 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:00:58 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:00:59 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:01:00 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:01:01 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:01:02 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:01:03 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:01:04 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:01:05 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:01:06 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:01:07 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:01:08 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:01:09 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:01:10 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:01:11 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:01:13 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:01:14 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:01:15 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:01:16 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:01:17 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:01:18 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:01:19 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:01:20 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:01:21 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:01:22 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:01:23 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:01:24 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:01:25 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:01:50 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:01:51 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:01:52 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:01:53 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:01:54 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:01:55 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:01:58 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:01:59 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:02:00 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:02:01 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:02:02 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:02:03 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:02:04 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:02:05 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:02:07 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:02:08 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:02:09 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:02:10 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:02:11 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:02:12 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:02:13 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:02:14 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:02:15 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:02:16 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:02:17 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:02:18 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:02:19 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:02:20 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:02:21 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:02:23 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:02:25 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:02:26 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:02:27 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:02:28 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:02:29 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:02:30 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:02:31 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:02:32 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:02:33 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:02:35 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:02:36 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:02:37 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:02:38 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:02:39 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:02:40 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:02:41 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:02:42 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:02:43 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:02:44 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:02:45 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:02:46 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:02:47 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:02:48 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:02:49 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:02:50 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:02:51 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:02:52 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:02:53 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:02:54 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:02:55 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:02:57 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:02:58 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:02:59 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:03:00 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:03:01 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:03:02 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:03:03 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:03:04 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:03:05 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:03:06 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:03:07 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:03:08 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:03:09 RON ndb_3 LED PASS, attempt 3
2019-11-11 16:03:10 RON ndb_3 LED PASS, attempt 4
2019-11-11 16:03:11 RON ndb_3 LED PASS, attempt 5
2019-11-11 16:03:12 RON ndb_3 LED FAIL, attempt 1
2019-11-11 16:03:13 RON ndb_3 LED FAIL, attempt 2
2019-11-11 16:03:15 RON ndb_3 LED FAIL, attempt 3
2019-11-11 16:03:16 RON ndb_3 LED FAIL, attempt 4
2019-11-11 16:03:18 RON ndb_3 LED FAIL, attempt 5
2019-11-11 16:03:19 RON ndb_4 LED PASS, attempt 1
2019-11-11 16:03:20 RON ndb_4 LED PASS, attempt 2
2019-11-11 16:03:21 RON ndb_4 LED PASS, attempt 3
2019-11-11 16:03:22 RON ndb_4 LED PASS, attempt 4
2019-11-11 16:03:23 RON ndb_4 LED PASS, attempt 5
2019-11-11 16:03:24 RON ndb_4 LED FAIL, attempt 1
2019-11-11 16:03:25 RON ndb_4 LED FAIL, attempt 2
2019-11-11 16:03:26 RON ndb_4 LED FAIL, attempt 3
2019-11-11 16:03:27 RON ndb_4 LED FAIL, attempt 4
2019-11-11 16:03:28 RON ndb_4 LED FAIL, attempt 5
2019-11-11 16:03:29 RON ndb_2 LED PASS, attempt 1
2019-11-11 16:03:30 RON ndb_2 LED PASS, attempt 2
2019-11-11 16:03:32 RON ndb_2 LED PASS, attempt 3
2019-11-11 16:03:33 RON ndb_2 LED PASS, attempt 4
2019-11-11 16:03:34 RON ndb_2 LED PASS, attempt 5
2019-11-11 16:03:35 RON ndb_2 LED FAIL, attempt 1
2019-11-11 16:03:36 RON ndb_2 LED FAIL, attempt 2
2019-11-11 16:03:37 RON ndb_2 LED FAIL, attempt 3
2019-11-11 16:03:38 RON ndb_2 LED FAIL, attempt 4
2019-11-11 16:03:39 RON ndb_2 LED FAIL, attempt 5
2019-11-11 16:03:40 RON ndb_3 LED PASS, attempt 1
2019-11-11 16:03:41 RON ndb_3 LED PASS, attempt 2
2019-11-11 16:03:42 RON ndb_3 LED PASS, attempt 3
