2019-11-21 10:16:42 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:27:26 RON ndb_4 LED FAIL, attempt 3
2019-11-21 10:27:27 RON ndb_4 LED FAIL, attempt 4
2019-11-21 10:27:28 RON ndb_4 LED FAIL, attempt 5
2019-11-21 10:29:51 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:29:52 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:29:53 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:29:54 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:29:55 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:29:56 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:29:58 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:29:59 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:30:00 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:30:01 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:30:03 RON ndb_3 LED PASS, attempt 1
2019-11-21 10:30:05 RON ndb_3 LED PASS, attempt 2
2019-11-21 10:30:06 RON ndb_3 LED PASS, attempt 3
2019-11-21 10:30:07 RON ndb_3 LED PASS, attempt 4
2019-11-21 10:30:08 RON ndb_3 LED PASS, attempt 5
2019-11-21 10:30:09 RON ndb_3 LED FAIL, attempt 1
2019-11-21 10:30:10 RON ndb_3 LED FAIL, attempt 2
2019-11-21 10:30:11 RON ndb_3 LED FAIL, attempt 3
2019-11-21 10:30:12 RON ndb_3 LED FAIL, attempt 4
2019-11-21 10:30:13 RON ndb_3 LED FAIL, attempt 5
2019-11-21 10:30:17 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:30:18 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:30:19 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:30:20 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:30:21 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:30:22 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:30:23 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:30:25 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:30:26 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:30:27 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:30:28 RON ndb_3 LED PASS, attempt 1
2019-11-21 10:30:29 RON ndb_3 LED PASS, attempt 2
2019-11-21 10:30:30 RON ndb_3 LED PASS, attempt 3
2019-11-21 10:30:31 RON ndb_3 LED PASS, attempt 4
2019-11-21 10:30:32 RON ndb_3 LED PASS, attempt 5
2019-11-21 10:30:33 RON ndb_3 LED FAIL, attempt 1
2019-11-21 10:30:34 RON ndb_3 LED FAIL, attempt 2
2019-11-21 10:30:35 RON ndb_3 LED FAIL, attempt 3
2019-11-21 10:30:36 RON ndb_3 LED FAIL, attempt 4
2019-11-21 10:30:37 RON ndb_3 LED FAIL, attempt 5
2019-11-21 10:30:38 RON ndb_4 LED PASS, attempt 1
2019-11-21 10:30:39 RON ndb_4 LED PASS, attempt 2
2019-11-21 10:30:40 RON ndb_4 LED PASS, attempt 3
2019-11-21 10:30:41 RON ndb_4 LED PASS, attempt 4
2019-11-21 10:30:42 RON ndb_4 LED PASS, attempt 5
2019-11-21 10:30:43 RON ndb_4 LED FAIL, attempt 1
2019-11-21 10:30:44 RON ndb_4 LED FAIL, attempt 2
2019-11-21 10:30:45 RON ndb_4 LED FAIL, attempt 3
2019-11-21 10:30:46 RON ndb_4 LED FAIL, attempt 4
2019-11-21 10:30:47 RON ndb_4 LED FAIL, attempt 5
2019-11-21 10:34:30 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:34:31 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:34:32 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:34:33 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:34:34 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:34:36 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:34:37 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:34:38 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:34:39 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:34:40 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:34:41 RON ndb_3 LED PASS, attempt 1
2019-11-21 10:34:43 RON ndb_3 LED PASS, attempt 2
2019-11-21 10:34:44 RON ndb_3 LED PASS, attempt 3
2019-11-21 10:34:45 RON ndb_3 LED PASS, attempt 4
2019-11-21 10:34:46 RON ndb_3 LED PASS, attempt 5
2019-11-21 10:34:47 RON ndb_3 LED FAIL, attempt 1
2019-11-21 10:34:48 RON ndb_3 LED FAIL, attempt 2
2019-11-21 10:34:49 RON ndb_3 LED FAIL, attempt 3
2019-11-21 10:34:50 RON ndb_3 LED FAIL, attempt 4
2019-11-21 10:34:51 RON ndb_3 LED FAIL, attempt 5
2019-11-21 10:34:55 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:34:56 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:34:57 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:34:58 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:34:59 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:35:00 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:35:01 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:35:02 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:35:03 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:35:04 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:35:05 RON ndb_3 LED PASS, attempt 1
2019-11-21 10:35:06 RON ndb_3 LED PASS, attempt 2
2019-11-21 10:35:07 RON ndb_3 LED PASS, attempt 3
2019-11-21 10:35:08 RON ndb_3 LED PASS, attempt 4
2019-11-21 10:35:09 RON ndb_3 LED PASS, attempt 5
2019-11-21 10:35:10 RON ndb_3 LED FAIL, attempt 1
2019-11-21 10:35:12 RON ndb_3 LED FAIL, attempt 2
2019-11-21 10:35:13 RON ndb_3 LED FAIL, attempt 3
2019-11-21 10:35:14 RON ndb_3 LED FAIL, attempt 4
2019-11-21 10:35:15 RON ndb_3 LED FAIL, attempt 5
2019-11-21 10:35:16 RON ndb_4 LED PASS, attempt 1
2019-11-21 10:35:17 RON ndb_4 LED PASS, attempt 2
2019-11-21 10:35:18 RON ndb_4 LED PASS, attempt 3
2019-11-21 10:35:19 RON ndb_4 LED PASS, attempt 4
2019-11-21 10:35:20 RON ndb_4 LED PASS, attempt 5
2019-11-21 10:35:21 RON ndb_4 LED FAIL, attempt 1
2019-11-21 10:35:22 RON ndb_4 LED FAIL, attempt 2
2019-11-21 10:35:23 RON ndb_4 LED FAIL, attempt 3
2019-11-21 10:35:24 RON ndb_4 LED FAIL, attempt 4
2019-11-21 10:35:25 RON ndb_4 LED FAIL, attempt 5
2019-11-21 10:38:04 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:38:05 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:38:06 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:38:07 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:38:08 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:38:09 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:38:10 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:38:11 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:38:12 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:38:13 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:38:14 RON ndb_3 LED PASS, attempt 1
2019-11-21 10:38:15 RON ndb_3 LED PASS, attempt 2
2019-11-21 10:38:17 RON ndb_3 LED PASS, attempt 3
2019-11-21 10:38:18 RON ndb_3 LED PASS, attempt 4
2019-11-21 10:38:19 RON ndb_3 LED PASS, attempt 5
2019-11-21 10:38:20 RON ndb_3 LED FAIL, attempt 1
2019-11-21 10:38:21 RON ndb_3 LED FAIL, attempt 2
2019-11-21 10:38:22 RON ndb_3 LED FAIL, attempt 3
2019-11-21 10:38:23 RON ndb_3 LED FAIL, attempt 4
2019-11-21 10:38:24 RON ndb_3 LED FAIL, attempt 5
2019-11-21 10:38:28 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:38:29 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:38:30 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:38:32 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:38:33 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:38:34 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:38:35 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:38:36 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:38:37 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:38:38 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:38:39 RON ndb_3 LED PASS, attempt 1
2019-11-21 10:38:40 RON ndb_3 LED PASS, attempt 2
2019-11-21 10:38:41 RON ndb_3 LED PASS, attempt 3
2019-11-21 10:38:42 RON ndb_3 LED PASS, attempt 4
2019-11-21 10:38:43 RON ndb_3 LED PASS, attempt 5
2019-11-21 10:38:45 RON ndb_3 LED FAIL, attempt 1
2019-11-21 10:38:46 RON ndb_3 LED FAIL, attempt 2
2019-11-21 10:38:47 RON ndb_3 LED FAIL, attempt 3
2019-11-21 10:38:48 RON ndb_3 LED FAIL, attempt 4
2019-11-21 10:38:49 RON ndb_3 LED FAIL, attempt 5
2019-11-21 10:38:50 RON ndb_4 LED PASS, attempt 1
2019-11-21 10:38:51 RON ndb_4 LED PASS, attempt 2
2019-11-21 10:38:52 RON ndb_4 LED PASS, attempt 3
2019-11-21 10:38:53 RON ndb_4 LED PASS, attempt 4
2019-11-21 10:38:54 RON ndb_4 LED PASS, attempt 5
2019-11-21 10:38:55 RON ndb_4 LED FAIL, attempt 1
2019-11-21 10:38:56 RON ndb_4 LED FAIL, attempt 2
2019-11-21 10:38:57 RON ndb_4 LED FAIL, attempt 3
2019-11-21 10:38:59 RON ndb_4 LED FAIL, attempt 4
2019-11-21 10:39:00 RON ndb_4 LED FAIL, attempt 5
2019-11-21 10:42:32 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:42:33 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:42:34 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:42:35 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:42:36 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:42:37 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:42:38 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:42:39 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:42:40 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:42:41 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:42:43 RON ndb_3 LED PASS, attempt 1
2019-11-21 10:42:44 RON ndb_3 LED PASS, attempt 2
2019-11-21 10:42:45 RON ndb_3 LED PASS, attempt 3
2019-11-21 10:42:46 RON ndb_3 LED PASS, attempt 4
2019-11-21 10:42:47 RON ndb_3 LED PASS, attempt 5
2019-11-21 10:42:48 RON ndb_3 LED FAIL, attempt 1
2019-11-21 10:42:49 RON ndb_3 LED FAIL, attempt 2
2019-11-21 10:42:50 RON ndb_3 LED FAIL, attempt 3
2019-11-21 10:42:51 RON ndb_3 LED FAIL, attempt 4
2019-11-21 10:42:52 RON ndb_3 LED FAIL, attempt 5
2019-11-21 10:42:56 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:42:57 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:42:58 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:42:59 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:43:00 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:43:01 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:43:02 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:43:03 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:43:04 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:43:05 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:43:06 RON ndb_3 LED PASS, attempt 1
2019-11-21 10:43:07 RON ndb_3 LED PASS, attempt 2
2019-11-21 10:43:08 RON ndb_3 LED PASS, attempt 3
2019-11-21 10:43:09 RON ndb_3 LED PASS, attempt 4
2019-11-21 10:43:11 RON ndb_3 LED PASS, attempt 5
2019-11-21 10:43:12 RON ndb_3 LED FAIL, attempt 1
2019-11-21 10:43:13 RON ndb_3 LED FAIL, attempt 2
2019-11-21 10:43:14 RON ndb_3 LED FAIL, attempt 3
2019-11-21 10:43:15 RON ndb_3 LED FAIL, attempt 4
2019-11-21 10:43:16 RON ndb_3 LED FAIL, attempt 5
2019-11-21 10:43:18 RON ndb_4 LED PASS, attempt 1
2019-11-21 10:43:19 RON ndb_4 LED PASS, attempt 2
2019-11-21 10:43:20 RON ndb_4 LED PASS, attempt 3
2019-11-21 10:43:21 RON ndb_4 LED PASS, attempt 4
2019-11-21 10:43:22 RON ndb_4 LED PASS, attempt 5
2019-11-21 10:43:23 RON ndb_4 LED FAIL, attempt 1
2019-11-21 10:43:25 RON ndb_4 LED FAIL, attempt 2
2019-11-21 10:43:26 RON ndb_4 LED FAIL, attempt 3
2019-11-21 10:43:27 RON ndb_4 LED FAIL, attempt 4
2019-11-21 10:43:28 RON ndb_4 LED FAIL, attempt 5
2019-11-21 10:49:49 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:49:50 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:49:51 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:49:52 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:49:53 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:49:54 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:49:55 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:49:56 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:49:57 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:49:58 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:49:59 RON ndb_3 LED PASS, attempt 1
2019-11-21 10:50:00 RON ndb_3 LED PASS, attempt 2
2019-11-21 10:50:02 RON ndb_3 LED PASS, attempt 3
2019-11-21 10:50:03 RON ndb_3 LED PASS, attempt 4
2019-11-21 10:50:04 RON ndb_3 LED PASS, attempt 5
2019-11-21 10:50:05 RON ndb_3 LED FAIL, attempt 1
2019-11-21 10:50:06 RON ndb_3 LED FAIL, attempt 2
2019-11-21 10:50:07 RON ndb_3 LED FAIL, attempt 3
2019-11-21 10:50:08 RON ndb_3 LED FAIL, attempt 4
2019-11-21 10:50:09 RON ndb_3 LED FAIL, attempt 5
2019-11-21 10:50:28 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:50:29 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:50:30 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:50:31 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:50:32 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:50:34 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:50:35 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:50:36 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:50:37 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:50:38 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:50:40 RON ndb_3 LED PASS, attempt 1
2019-11-21 10:50:41 RON ndb_3 LED PASS, attempt 2
2019-11-21 10:50:42 RON ndb_3 LED PASS, attempt 3
2019-11-21 10:50:44 RON ndb_3 LED PASS, attempt 4
2019-11-21 10:50:45 RON ndb_3 LED PASS, attempt 5
2019-11-21 10:50:46 RON ndb_3 LED FAIL, attempt 1
2019-11-21 10:50:47 RON ndb_3 LED FAIL, attempt 2
2019-11-21 10:50:48 RON ndb_3 LED FAIL, attempt 3
2019-11-21 10:50:49 RON ndb_3 LED FAIL, attempt 4
2019-11-21 10:50:51 RON ndb_3 LED FAIL, attempt 5
2019-11-21 10:51:58 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:51:59 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:52:00 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:52:01 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:52:02 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:52:03 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:52:04 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:52:06 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:52:07 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:52:08 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:52:09 RON ndb_3 LED PASS, attempt 1
2019-11-21 10:52:10 RON ndb_3 LED PASS, attempt 2
2019-11-21 10:52:11 RON ndb_3 LED PASS, attempt 3
2019-11-21 10:52:13 RON ndb_3 LED PASS, attempt 4
2019-11-21 10:52:14 RON ndb_3 LED PASS, attempt 5
2019-11-21 10:52:15 RON ndb_3 LED FAIL, attempt 1
2019-11-21 10:52:16 RON ndb_3 LED FAIL, attempt 2
2019-11-21 10:52:17 RON ndb_3 LED FAIL, attempt 3
2019-11-21 10:52:18 RON ndb_3 LED FAIL, attempt 4
2019-11-21 10:52:19 RON ndb_3 LED FAIL, attempt 5
2019-11-21 10:52:21 RON ndb_4 LED PASS, attempt 1
2019-11-21 10:52:22 RON ndb_4 LED PASS, attempt 2
2019-11-21 10:52:23 RON ndb_4 LED PASS, attempt 3
2019-11-21 10:52:24 RON ndb_4 LED PASS, attempt 4
2019-11-21 10:52:25 RON ndb_4 LED PASS, attempt 5
2019-11-21 10:52:26 RON ndb_4 LED FAIL, attempt 1
2019-11-21 10:52:27 RON ndb_4 LED FAIL, attempt 2
2019-11-21 10:52:29 RON ndb_4 LED FAIL, attempt 3
2019-11-21 10:52:30 RON ndb_4 LED FAIL, attempt 4
2019-11-21 10:52:31 RON ndb_4 LED FAIL, attempt 5
2019-11-21 11:11:17 RON ndb_2 LED PASS, attempt 1
2019-11-21 11:11:18 RON ndb_2 LED PASS, attempt 2
2019-11-21 11:11:19 RON ndb_2 LED PASS, attempt 3
2019-11-21 11:11:20 RON ndb_2 LED PASS, attempt 4
2019-11-21 11:11:21 RON ndb_2 LED PASS, attempt 5
2019-11-21 11:11:22 RON ndb_2 LED FAIL, attempt 1
2019-11-21 11:11:23 RON ndb_2 LED FAIL, attempt 2
2019-11-21 11:11:24 RON ndb_2 LED FAIL, attempt 3
2019-11-21 11:11:25 RON ndb_2 LED FAIL, attempt 4
2019-11-21 11:11:26 RON ndb_2 LED FAIL, attempt 5
2019-11-21 11:11:27 RON ndb_3 LED PASS, attempt 1
2019-11-21 11:11:29 RON ndb_3 LED PASS, attempt 2
2019-11-21 11:11:30 RON ndb_3 LED PASS, attempt 3
2019-11-21 11:11:31 RON ndb_3 LED PASS, attempt 4
2019-11-21 11:11:32 RON ndb_3 LED PASS, attempt 5
2019-11-21 11:11:33 RON ndb_3 LED FAIL, attempt 1
2019-11-21 11:11:34 RON ndb_3 LED FAIL, attempt 2
2019-11-21 11:11:35 RON ndb_3 LED FAIL, attempt 3
2019-11-21 11:11:36 RON ndb_3 LED FAIL, attempt 4
2019-11-21 11:11:37 RON ndb_3 LED FAIL, attempt 5
2019-11-21 11:11:38 RON ndb_4 LED PASS, attempt 1
2019-11-21 11:11:39 RON ndb_4 LED PASS, attempt 2
2019-11-21 11:11:40 RON ndb_4 LED PASS, attempt 3
2019-11-21 11:11:41 RON ndb_4 LED PASS, attempt 4
2019-11-21 11:11:42 RON ndb_4 LED PASS, attempt 5
2019-11-21 11:11:43 RON ndb_4 LED FAIL, attempt 1
2019-11-21 11:11:44 RON ndb_4 LED FAIL, attempt 2
2019-11-21 11:11:45 RON ndb_4 LED FAIL, attempt 3
2019-11-21 11:11:46 RON ndb_4 LED FAIL, attempt 4
2019-11-21 11:11:47 RON ndb_4 LED FAIL, attempt 5
2019-11-21 11:20:04 RON ndb_2 LED PASS, attempt 1
2019-11-21 11:20:05 RON ndb_2 LED PASS, attempt 2
2019-11-21 11:20:06 RON ndb_2 LED PASS, attempt 3
2019-11-21 11:20:07 RON ndb_2 LED PASS, attempt 4
2019-11-21 11:20:08 RON ndb_2 LED PASS, attempt 5
2019-11-21 11:20:09 RON ndb_2 LED FAIL, attempt 1
2019-11-21 11:20:10 RON ndb_2 LED FAIL, attempt 2
2019-11-21 11:20:11 RON ndb_2 LED FAIL, attempt 3
2019-11-21 11:20:12 RON ndb_2 LED FAIL, attempt 4
2019-11-21 11:20:13 RON ndb_2 LED FAIL, attempt 5
2019-11-21 11:20:14 RON ndb_3 LED PASS, attempt 1
2019-11-21 11:20:15 RON ndb_3 LED PASS, attempt 2
2019-11-21 11:20:16 RON ndb_3 LED PASS, attempt 3
2019-11-21 11:20:17 RON ndb_3 LED PASS, attempt 4
2019-11-21 11:20:19 RON ndb_3 LED PASS, attempt 5
2019-11-21 11:20:20 RON ndb_3 LED FAIL, attempt 1
